planId,plan_name,network,monthly_fee,data_gb,throttling,roaming,voice,message,membership,benefit_1,benefit_2,join_limit,notes
0940,티빙/지니/밀리 초이스 프리미엄,5G,130000 ,무제한,무제한,무제한(최대 3Mbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,티빙 스탠다드,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0941,티빙/지니/밀리 초이스 스페셜,5G,110000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,티빙 스탠다드,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0942,티빙/지니/밀리 초이스 베이직,5G,90000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,티빙 베이직,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0953,요고 30,5G,30000 ,5GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,출시 혜택 - OTT 1개 / 12개월간 데이터 5GB 제공,콘텐츠 1개 50% 할인,,
0952,요고 32,5G,32000 ,10GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,"출시 혜택 - OTT 1개, 12개월간 데이터 5GB 제공",콘텐츠 1개 50% 할인,,
0951,요고 34,5G,34000 ,15GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,"출시 혜택 - OTT 1개, 12개월간 데이터 5GB 제공",콘텐츠 1개 50% 할인,,
0950,요고 36,5G,36000 ,20GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,"출시 혜택 - OTT 1개, 12개월간 데이터 5GB 제공",콘텐츠 1개 50% 할인,,
0949,요고 38,5G,38000 ,25GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,"출시 혜택 - OTT 1개, 12개월간 기본 데이터 한번 더 제공",콘텐츠 1개 50% 할인,,
0948,요고 40,5G,40000 ,30GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,"출시 혜택 - OTT 1개, 12개월간 기본 데이터 한번 더 제공",콘텐츠 1개 50% 할인,,
0947,요고 42,5G,42000 ,35GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,"출시 혜택 - OTT 1개, 12개월간 기본 데이터 한번 더 제공",콘텐츠 1개 50% 할인,,
0946,요고 44,5G,44000 ,40GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,"출시 혜택 - OTT 1개, 12개월간 기본 데이터 한번 더 제공",콘텐츠 1개 50% 할인,,
0945,요고 46,5G,46000 ,80GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,출시 혜택 - OTT 1개,콘텐츠 1개 50% 할인,,
0944,요고 49,5G,49000 ,120GB,다 쓰면 최대 5Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,출시 혜택 - OTT 1개,콘텐츠 1개 50% 할인,,
0943,요고 55,5G,61000 ,무제한,무제한,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,출시 혜택 - OTT 1개 또는 디바이스 할인,콘텐츠 1개 50% 할인,,
0920,요고 69,5G,69000 ,무제한,무제한,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,출시 혜택 - OTT 2개 또는 디바이스 할인,콘텐츠 1개,,
0919,요고 61,5G,61000 ,무제한,무제한,,집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,출시 혜택 - OTT 1개 또는 디바이스 할인,콘텐츠 1개,,
0939,(유튜브 프리미엄) 초이스 프리미엄,5G,130000 ,무제한,무제한,무제한(최대 3Mbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,"유튜브 프리미엄 (4,450원 추가)",지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0938,(유튜브 프리미엄) 초이스 스페셜,5G,110000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,"유튜브 프리미엄 (4,450원 추가)",지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0937,(유튜브 프리미엄) 초이스 베이직,5G,90000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,"유튜브 프리미엄 (4,450원 추가)",지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0936,5G 웰컴 1,5G,39000 ,1GB,다 쓰면 최대 1Mbps,,200분,200건,,"001 Free 무료, GME 해외송금 수수료 무료 쿠폰 2장",데이터 속도 업그레이드 : 1Mbps →3Mbps,외국인 전용,
0935,5G 웰컴 3,5G,49000 ,3GB,다 쓰면 최대 3Mbps,,200분,200건,,"001 Free 무료, GME 해외송금 수수료 무료 쿠폰 2장",데이터 속도 업그레이드 : 3Mbps →5Mbps,외국인 전용,
0934,5G 웰컴 5,5G,59000 ,5GB,다 쓰면 최대 5Mbps,,200분,200건,,"001 Free 무료, GME 해외송금 수수료 무료 쿠폰 2장",20GB 추가 제공(기본 제공 데이터 추가 시 총 25GB/월),외국인 전용,
0926,5G 심플 30GB,5G,61000 ,30GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0925,5G 슬림 4GB,5G,37000 ,4GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0924,5G 슬림 7GB,5G,45000 ,7GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0923,5G 슬림 10GB,5G,50000 ,10GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0922,5G 슬림 14GB,5G,55000 ,14GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0921,5G 슬림 21GB,5G,58000 ,21GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0899,5G 심플 50GB,5G,63000 ,50GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0898,5G 심플 70GB,5G,65000 ,70GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0897,5G 심플 90GB,5G,67000 ,90GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0808,5G 심플 110GB,5G,69000 ,110GB,다 쓰면 최대 5Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,,
0894,5G 시니어 A형,5G,44000 ,10GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 400분),기본제공,,KT 안심박스 무료제공,,만 65세 이상,
0895,5G 시니어 B형,5G,42000 ,9GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 400분),기본제공,,KT 안심박스 무료제공,,만 75세 이상,
0896,5G 시니어 C형,5G,41000 ,8GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 400분),기본제공,,KT 안심박스 무료제공,,만 80세 이상,
0893,5G 시니어 베이직,5G,49000 ,15GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 400분),기본제공,,KT 안심박스 무료제공,,만 65세 이상,
0844,5G 주니어,5G,38000 ,5GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,KT 안심박스 무료제공,,만 12세 이하,
0845,5G 주니어 슬림,5G,28000 ,3GB,다 쓰면 최대 400Kbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,KT 안심박스 무료제공,,만 12세 이하,
0840,디즈니+ 초이스 프리미엄,5G,130000 ,무제한,무제한,무제한(최대 3Mbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,디즈니+ 스탠다드,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0841,디즈니+ 초이스 스페셜,5G,110000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,디즈니+ 스탠다드,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0842,디즈니+ 초이스 베이직,5G,90000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,디즈니+ 스탠다드,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0811,넷플릭스 초이스 베이직,5G,90000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,넷플릭스 베이식,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0810,넷플릭스 초이스 스페셜,5G,110000 ,무제한,무제한,무제한(최대 100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,넷플릭스 베이식,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0809,넷플릭스 초이스 프리미엄,5G,130000 ,무제한,무제한,무제한(최대 3Mbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,넷플릭스 스탠다드,지니뮤직/밀리의서재/블라이스셀렉트 중 1개,,
0778,5G Y틴,5G,47000 ,10GB,다 쓰면 최대 1Mbps,,집/이동전화 무제한(+영상/부가 300분),기본제공,,,,만 18세 이하,
0770,베이직,5G,80000 ,무제한,무제한,무제한(최대100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,,,,
0769,스페셜,5G,100000 ,무제한,무제한,무제한(최대100Kbps속도제어),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,,,,
0780,Y 베이직,5G,80000 ,무제한,무제한,무제한(최대 1Mbps속도제한),집/이동전화 무제한(+영상/부가 300분),기본제공,VIP제공,,,만 34세 이하,
0779,Y 스페셜,5G,100000 ,무제한,무제한,무제한(최대 1Mbps속도제한),집/이동전화 무제한(+영상/부가 300분),기본제공,VVIP제공,,,만 34세 이하,
